snapshot_id,source,partition,planner,layout_id,layout_cluster,episode_id,profile_id,call_index,snapshot_time,normalized_path_progress,y_bad,mechanisms,label_collision,label_planner_failure,label_command_collapse,label_progress_stall,label_oscillatory_reversal_vy,label_oscillatory_reversal_wz,delay,delay_normalized,tau_x,tau_x_normalized,tau_y,tau_y_normalized,tau_w,tau_w_normalized,theta_magnitude,e_v,e_x,c_min,u_magnitude,delta_u_magnitude,m_p,m_pf,m_p_censored,m_pf_censored,baseline_query_mismatch,nominal_rollout_failure,m_p_queries,m_pf_queries,recorded_command,baseline_query_command
eipt_078,phase2,holdout,dwa,holdout_07,phase2:holdout_07,holdout__holdout_07__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.0007621271392702849,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.05083893226974833,0.029156767748929342,0.4260069181657665,0.20516589579280994,0.01661591092538034,0.125,2.0,0,1,0,0,63,28,"{""vx"":0.011428574100136757,""vy"":-0.0641176700592041,""wz"":-0.07105263322591782}","{""vx"":0.011428574100136757,""vy"":-0.0641176700592041,""wz"":-0.07105263322591782}"
eipt_079,phase2,holdout,dwa,holdout_08,phase2:holdout_08,holdout__holdout_08__dwa__e0,e0,5,0.25000000000000006,0.0021762821185341958,1,command_collapse;progress_stall,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017055841872569397,2.5121516772833817e-14,0.590100013831458,0.2628967968777105,0.017055841872569397,0.09375,0.75,0,0,0,0,60,26,"{""vx"":0.0,""vy"":-0.09142858535051346,""wz"":0.023684201762080193}","{""vx"":0.0,""vy"":-0.09142858535051346,""wz"":0.023684201762080193}"
eipt_080,phase2,holdout,dwa,holdout_10,phase2:holdout_10,holdout__holdout_10__dwa__tau_y_500,tau_y_500,5,0.25000000000000006,0.0004149626881299267,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.12326612266279369,0.07612970886707081,0.8668735343269813,0.31309596394921296,0.04745095174703496,0.125,0.5,0,0,0,0,64,34,"{""vx"":0.011428574100136757,""vy"":-0.05685737356543541,""wz"":-0.21315789222717285}","{""vx"":0.011428574100136757,""vy"":-0.05685737356543541,""wz"":-0.21315789222717285}"
eipt_081,phase2,holdout,dwa,holdout_17,phase2:holdout_17,holdout__holdout_17__dwa__e0,e0,5,0.25000000000000006,0.00212889870194151,1,command_collapse;progress_stall,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017055841872569397,2.5121516772833817e-14,0.4314741504538389,0.2628967968777105,0.017055841872569397,0.09375,0.75,0,0,0,0,60,26,"{""vx"":0.0,""vy"":-0.09142858535051346,""wz"":0.023684201762080193}","{""vx"":0.0,""vy"":-0.09142858535051346,""wz"":0.023684201762080193}"
eipt_082,phase2,holdout,dwa,holdout_18,phase2:holdout_18,holdout__holdout_18__dwa__e0,e0,5,0.25000000000000006,0.0017598762580018832,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03219419374281255,1.25619374978378e-14,0.4993066276851039,0.19903856002209255,0.03219419374281255,0.125,2.0,0,1,0,0,65,24,"{""vx"":0.011428574100136757,""vy"":-0.04571428522467613,""wz"":-0.11842105537652968}","{""vx"":0.011428574100136757,""vy"":-0.04571428522467613,""wz"":-0.11842105537652968}"
eipt_083,phase2,holdout,dwa,holdout_19,phase2:holdout_19,holdout__holdout_19__dwa__delay_200,delay_200,5,0.25000000000000006,3.2148535209471344e-05,1,command_collapse;progress_stall,0,0,1,1,0,0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06224623961368671,0.048738526811057926,0.5280095416283941,0.058257546383674454,0.06224623961368671,0.18750000000000003,0.984375,0,0,0,0,66,38,"{""vx"":-0.017142856493592262,""vy"":-0.011428573168814182,""wz"":-0.023684214800596237}","{""vx"":-0.017142856493592262,""vy"":-0.011428573168814182,""wz"":-0.023684214800596237}"
eipt_084,phase2,holdout,dwa,holdout_20,phase2:holdout_20,holdout__holdout_20__dwa__tau_x_300,tau_x_300,5,0.25000000000000006,0.0014703500549646989,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.03219419441667081,0.010526953383256408,0.6706785233736023,0.19795431019958942,0.029648216582559707,0.09375,2.0,0,1,0,0,64,32,"{""vx"":0.006591533776372671,""vy"":-0.04571428522467613,""wz"":-0.11842105537652968}","{""vx"":0.006591533776372671,""vy"":-0.04571428522467613,""wz"":-0.11842105537652968}"
eipt_085,phase2,holdout,dwa,holdout_05,phase2:holdout_05,holdout__holdout_05__dwa__tau_w_300,tau_w_300,25,1.2500000000000009,0.010782467556793327,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.0,0.02958405732178823,0.022724766637615954,0.9961882615130487,0.10609498951093528,0.0167600854152594,0.25000000000000006,2.0,0,1,0,0,66,32,"{""vx"":0.0,""vy"":-0.034285735338926315,""wz"":-0.03259578719735145}","{""vx"":0.0,""vy"":-0.034285735338926315,""wz"":-0.03259578719735145}"
eipt_086,phase2,holdout,dwa,holdout_05,phase2:holdout_05,holdout__holdout_05__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.0017838219616760635,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.13167012530716843,0.06803244220508295,0.92808326493088,0.31527204704038514,0.07297482698164424,0.09375,0.0625,0,0,0,0,62,29,"{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}","{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}"
eipt_087,phase2,holdout,dwa,holdout_09,phase2:holdout_09,holdout__holdout_09__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.0018119397156992278,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.13167012530716843,0.06803244220508295,0.8082829489377903,0.31527204704038514,0.07297482698164424,0.09375,0.0625,0,0,0,0,62,31,"{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}","{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}"
eipt_088,phase2,holdout,dwa,holdout_09,phase2:holdout_09,holdout__holdout_09__dwa__tau_y_150,tau_y_150,25,1.2500000000000009,0.06727230596465966,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.13958579147747316,0.04859459305724225,0.7732737210830063,1.1052463444639125,0.11322707008096924,0.15309310892395098,2.0,0,1,0,0,69,28,"{""vx"":0.4214285612106323,""vy"":-0.20189228653907776,""wz"":0.0868420973420143}","{""vx"":0.4214285612106323,""vy"":-0.20189228653907776,""wz"":0.0868420973420143}"
eipt_089,phase2,holdout,dwa,holdout_11,phase2:holdout_11,holdout__holdout_11__dwa__tau_y_150,tau_y_150,25,1.2500000000000009,0.005717385217619333,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.016326527212326795,0.009718924470697245,0.5642547798399025,0.06723518350294659,0.028024997029985704,0.09375,0.0625,0,0,0,0,62,30,"{""vx"":0.0,""vy"":-0.023532314226031303,""wz"":0.0}","{""vx"":-0.017142856493592262,""vy"":-0.01210374291986227,""wz"":0.0}"
eipt_090,phase2,holdout,dwa,holdout_12,phase2:holdout_12,holdout__holdout_12__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.0017838219616760633,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.13167012530716843,0.06803244220508295,0.5583252731199216,0.31527204704038514,0.07297482698164424,0.09375,0.0625,0,0,0,0,62,31,"{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}","{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}"
eipt_091,phase2,holdout,dwa,holdout_12,phase2:holdout_12,holdout__holdout_12__dwa__tau_y_150,tau_y_150,25,1.2500000000000009,0.06665669688502739,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.09220554803624112,0.04859454051286777,0.4729631862840655,1.0193060677226975,0.16904850565190213,0.20412414523193328,0.09375,0,0,0,0,69,26,"{""vx"":0.43857142329216003,""vy"":-0.08643586933612823,""wz"":0.13421052694320676}","{""vx"":0.43857142329216003,""vy"":-0.08643586933612823,""wz"":0.13421052694320676}"
eipt_092,phase2,holdout,dwa,holdout_13,phase2:holdout_13,holdout__holdout_13__dwa__delay_100,delay_100,45,2.249999999999996,0.006359517540860944,0,,0,0,0,0,0,0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.004934209282509983,0.004934209282510433,0.7255347148225805,0.009868418565019965,0.004934209282509983,0.25,0.125,0,0,0,0,68,27,"{""vx"":0.0,""vy"":0.0,""wz"":0.007894734852015972}","{""vx"":-0.017142856493592262,""vy"":-0.017142856493592262,""wz"":-0.023684212937951084}"
eipt_093,phase2,holdout,dwa,holdout_14,phase2:holdout_14,holdout__holdout_14__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.001415322402054714,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.13167012530716843,0.06803244220508295,0.6870673863796026,0.31527204704038514,0.07297482698164424,0.09374999999999997,0.0625,0,0,0,0,62,29,"{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}","{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}"
eipt_094,phase2,holdout,dwa,holdout_14,phase2:holdout_14,holdout__holdout_14__dwa__tau_y_150,tau_y_150,25,1.2500000000000009,0.05828208577538552,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.10173378341242827,0.029156771476242238,0.3689009933504462,1.1431933190289438,0.08967303457887711,0.3125,0.5,0,0,0,0,68,29,"{""vx"":0.4386880397796631,""vy"":-0.20666193962097168,""wz"":0.07105269283056259}","{""vx"":0.4386880397796631,""vy"":-0.20666193962097168,""wz"":0.07105269283056259}"
eipt_095,phase2,holdout,dwa,holdout_15,phase2:holdout_15,holdout__holdout_15__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.0018119397156992278,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.13167012530716843,0.06803244220508295,0.7654113000169724,0.31527204704038514,0.07297482698164424,0.09375,0.0625,0,0,0,0,62,31,"{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}","{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}"
eipt_096,phase2,holdout,dwa,holdout_15,phase2:holdout_15,holdout__holdout_15__dwa__tau_y_150,tau_y_150,25,1.2500000000000009,0.0677073827983507,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.09220554803624112,0.04859454051286777,0.5551614989992597,1.0193060677226975,0.16904850565190213,0.20412414523193328,2.0,0,1,0,0,69,28,"{""vx"":0.43857142329216003,""vy"":-0.08643586933612823,""wz"":0.13421052694320676}","{""vx"":0.43857142329216003,""vy"":-0.08643586933612823,""wz"":0.13421052694320676}"
eipt_097,rq1,holdout,teb,holdout_01,rq1:holdout_01,holdout__holdout_01__teb__tau_w_300,tau_w_300,206,10.299999999999825,0.7658470709799449,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.0,0.13785822064595202,0.10981609985129355,0.22750823311724014,0.34271369406918484,0.06940228880574455,0.34375,0.0625,0,0,0,0,80,27,"{""vx"":0.08300402963926491,""vy"":0.008663942075416224,""wz"":-0.23022333943761336}","{""vx"":0.12761817975817763,""vy"":-0.024885574776679204,""wz"":-0.22343154852968422}"
eipt_098,rq1,holdout,teb,holdout_03,rq1:holdout_03,holdout__holdout_03__teb__tau_x_100,tau_x_100,48,2.399999999999993,0.1852878495658527,1,planner_failure,0,1,0,0,0,0,0.0,0.0,0.1,0.33333333333333337,0.0,0.0,0.0,0.0,0.33333333333333337,0.10514494023102522,0.07443025831609643,0.282068130063377,0.8949729513445882,0.1051449527176253,0.4375,2.0,0,1,0,0,79,28,"{""vx"":0.40270897908684433,""vy"":-0.003625055921958307,""wz"":-0.0021870436895917314}","{""vx"":0.40270897908684433,""vy"":-0.003625055921958307,""wz"":-0.0021870436895917314}"
eipt_099,rq1,holdout,teb,holdout_05,rq1:holdout_05,holdout__holdout_05__teb__delay_200,delay_200,49,2.4499999999999917,0.09146027617978736,1,progress_stall,0,0,0,1,0,0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142607884443241,0.1978815710221713,0.31761120336798543,0.3629633145245619,0.23803833813430825,0.34375000000000006,0.0625,0,0,0,0,79,34,"{""vx"":0.16156106987708937,""vy"":0.017870561101809915,""wz"":0.012308278527874831}","{""vx"":0.13415705869227434,""vy"":-0.007375044727824131,""wz"":0.04909447836530232}"
