partition,planner,profile_id,metric,n,mean,sd,median,min,max
holdout,dwa,e0,final_xy_error,20,4.597399936540611,0.523026843045708,4.775535877594551,2.792945207502556,4.800342967782957
holdout,dwa,tau_w_100,success,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_w_100,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_w_100,timeout,20,1.0,0.0,1.0,1.0,1.0
holdout,dwa,tau_w_100,planner_failure,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_w_100,capped_time_to_termination,20,30.000000000001886,3.645007325606123e-15,30.00000000000189,30.00000000000189,30.00000000000189
holdout,dwa,tau_w_100,path_length,20,0.44443323730013506,0.6963874903709645,0.24140314565861648,0.10350131892526561,2.8737582197838676
holdout,dwa,tau_w_100,min_clearance,20,0.5821300997606668,0.29768915320304856,0.6000748605817519,0.042579036771993824,1.3867780025917795
holdout,dwa,tau_w_100,final_xy_error,20,4.617239823792991,0.5192144721133047,4.79937960160367,2.8348544577920394,4.846350580980265
holdout,dwa,tau_w_300,success,20,0.05,0.2236067977499789,0.0,0.0,1.0
holdout,dwa,tau_w_300,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_w_300,timeout,20,0.9,0.30779350562554625,1.0,0.0,1.0
holdout,dwa,tau_w_300,planner_failure,20,0.05,0.22360679774997888,0.0,0.0,1.0
holdout,dwa,tau_w_300,capped_time_to_termination,20,28.762000000001755,4.775098345639672,30.00000000000189,8.749999999999858,30.00000000000189
holdout,dwa,tau_w_300,path_length,20,2.0395256208880737,1.1355668444823472,1.9219958950466125,0.16099556378639623,5.199003236333173
holdout,dwa,tau_w_300,min_clearance,20,0.2771669871543784,0.1502656009133134,0.2958181323328065,0.006626239858530158,0.5095880349580886
holdout,dwa,tau_w_300,final_xy_error,20,3.299821816528948,1.0658613498020233,3.3504169666367103,0.07729414459753153,4.737872958385285
holdout,dwa,tau_x_100,success,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_x_100,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_x_100,timeout,20,1.0,0.0,1.0,1.0,1.0
holdout,dwa,tau_x_100,planner_failure,20,0.0,0.0,0.0,0.0,0.0
holdout,dwa,tau_x_100,capped_time_to_termination,20,30.000000000001886,3.645007325606123e-15,30.00000000000189,30.00000000000189,30.00000000000189
