episode_id,partition,layout_id,planner,profile_id,success,reason,collision,planner_failures,final_time,path_length,min_clearance,final_xy_error
holdout__holdout_16__teb__tau_x_300,holdout,holdout_16,teb,tau_x_300,true,external_tolerance,false,0,12.259999999999783,5.043759930241792,0.1769329687130887,0.053534047492544104
holdout__holdout_16__dwa__tau_x_300,holdout,holdout_16,dwa,tau_x_300,false,logical_timeout,false,0,30.00000000000189,0.05226722964506285,0.6329514994841314,4.7987688891493585
discovery__discovery_06__dwa__delay_050,discovery,discovery_06,dwa,delay_050,false,logical_timeout,false,0,30.00000000000189,0.10330025774373841,0.6671015547648299,4.800409713394666
holdout__holdout_13__teb__e0,holdout,holdout_13,teb,e0,true,external_tolerance,false,0,11.209999999999805,5.115591993804226,0.150275305530295,0.0795521739316048
holdout__holdout_06__teb__tau_w_100,holdout,holdout_06,teb,tau_w_100,true,external_tolerance,false,0,13.80999999999975,5.929366208366477,0.12380620649345156,0.053296805468430825
holdout__holdout_20__teb__delay_050,holdout,holdout_20,teb,delay_050,true,external_tolerance,false,0,12.539999999999777,5.399341358394802,0.1517324631626651,0.06016375279975453
discovery__discovery_12__teb__tau_w_100,discovery,discovery_12,teb,tau_w_100,true,external_tolerance,false,0,13.669999999999753,5.094072878538158,0.16543168957918447,0.057099711666110664
holdout__holdout_12__dwa__e0,holdout,holdout_12,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.08043681154258775,0.4894754709442799,4.800342967782957
holdout__holdout_11__dwa__tau_x_300,holdout,holdout_11,dwa,tau_x_300,false,logical_timeout,false,0,30.00000000000189,0.05226722964506285,0.5234999999999999,4.7987688891493585
discovery__discovery_07__dwa__tau_y_150,discovery,discovery_07,dwa,tau_y_150,false,logical_timeout,false,0,30.00000000000189,2.974403535679563,0.029869495662891415,2.233317600849198
discovery__discovery_08__teb__delay_100,discovery,discovery_08,teb,delay_100,true,external_tolerance,false,0,12.749999999999773,5.2257243551729715,0.19022253758459667,0.07936920123578653
discovery__discovery_12__teb__delay_050,discovery,discovery_12,teb,delay_050,true,external_tolerance,false,0,12.739999999999773,5.106105034838982,0.16374820691802797,0.06401269266890476
discovery__discovery_07__teb__tau_y_500,discovery,discovery_07,teb,tau_y_500,true,external_tolerance,false,0,19.940000000000317,6.026882115035409,0.09034129117455274,0.03294284179997323
discovery__discovery_20__dwa__tau_x_100,discovery,discovery_20,dwa,tau_x_100,false,logical_timeout,false,0,30.00000000000189,0.12779152653451933,0.631947523341957,4.751622632976504
discovery__discovery_09__dwa__tau_y_300,discovery,discovery_09,dwa,tau_y_300,false,logical_timeout,false,0,30.00000000000189,0.1320295164372248,0.45693029464674034,4.799915338987383
holdout__holdout_06__dwa__tau_x_100,holdout,holdout_06,dwa,tau_x_100,false,logical_timeout,false,0,30.00000000000189,0.12779152653451933,0.7454999999999998,4.751622632976504
holdout__holdout_20__teb__tau_w_300,holdout,holdout_20,teb,tau_w_300,true,external_tolerance,false,0,17.219999999999892,5.347550783593825,0.1512648690821731,0.045616571219830745
discovery__discovery_16__dwa__tau_x_100,discovery,discovery_16,dwa,tau_x_100,true,external_tolerance,false,0,16.989999999999856,6.020405359568637,0.09830488733253633,0.07269676873468393
holdout__holdout_12__teb__tau_w_100,holdout,holdout_12,teb,tau_w_100,true,external_tolerance,false,0,11.759999999999794,5.142804186793485,0.10132476016882726,0.039587738739651976
holdout__holdout_01__teb__delay_100,holdout,holdout_01,teb,delay_100,true,external_tolerance,false,0,14.419999999999737,5.555382509704802,0.016049115024586922,0.07832924448390695
holdout__holdout_04__teb__delay_100,holdout,holdout_04,teb,delay_100,true,external_tolerance,false,0,17.64999999999996,5.773701528732678,0.20774863196328439,0.02025942011925439
discovery__discovery_07__dwa__e0,discovery,discovery_07,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.29686420154556653,0.5532121583953385,4.750728787406146
holdout__holdout_01__teb__e0,holdout,holdout_01,teb,e0,true,external_tolerance,false,0,11.95999999999979,5.398479087058974,0.053275207916061044,0.0787493453824806
discovery__discovery_12__teb__e0,discovery,discovery_12,teb,e0,true,external_tolerance,false,0,11.4699999999998,5.116202825056417,0.17677016380274382,0.054469215409993596
holdout__holdout_18__teb__tau_x_300,holdout,holdout_18,teb,tau_x_300,true,external_tolerance,false,0,12.239999999999783,5.033004214545989,0.1420911836331486,0.057772937504596965
discovery__discovery_03__teb__tau_y_150,discovery,discovery_03,teb,tau_y_150,true,external_tolerance,false,0,15.379999999999717,6.036412639755873,0.09776303762658042,0.021278794969096747
discovery__discovery_13__dwa__tau_x_300,discovery,discovery_13,dwa,tau_x_300,false,logical_timeout,false,0,30.00000000000189,0.3837988799553691,0.4249726698996225,4.847191900628959
holdout__holdout_02__dwa__tau_w_300,holdout,holdout_02,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,1.5428040321375478,0.40235762380957873,3.9340832290536865
holdout__holdout_03__dwa__tau_w_100,holdout,holdout_03,dwa,tau_w_100,false,logical_timeout,false,0,30.00000000000189,2.8737582197838676,0.042579036771993824,2.8348544577920394
