schedule_index,episode_id,partition,layout_id,planner,profile_id,lock_hash,valid,success,reason,raw_reason,collision,planner_failures,planner_calls,execution_steps,final_xy_error,final_yaw_error,final_time,capped_time_to_termination,path_length,min_clearance,compute_mean,compute_max,time_contract,feedback_contract,command_hold_contract,collision_truth_contract
561,holdout__holdout_17__teb__tau_w_300,holdout,holdout_17,teb,tau_w_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,68,340,3.412865257103738,0.2211265653336076,3.3999999999999715,3.3999999999999715,1.4745334156894057,0.15443479843321736,0.015798330463768117,0.03060942,true,true,true,true
562,holdout__holdout_01__teb__tau_x_100,holdout,holdout_01,teb,tau_x_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,248,1238,0.07783929036443914,0.0351910159855629,12.37999999999978,12.37999999999978,5.43500573897764,0.059495228893379465,0.011311100524193549,0.030826702,true,true,true,true
563,holdout__holdout_05__dwa__tau_y_150,holdout,holdout_05,dwa,tau_y_150,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,298,1490,0.07547519010306328,0.09940123174062526,14.899999999999727,14.899999999999727,5.072552586216585,0.04933252599375246,0.005046188791946307,0.017261222,true,true,true,true
564,holdout__holdout_04__teb__tau_y_500,holdout,holdout_04,teb,tau_y_500,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,326,1629,0.017135244902898465,0.09597870859599344,16.289999999999747,16.289999999999747,5.761370195256148,0.14260326832680767,0.01069150667177914,0.030042467,true,true,true,true
565,discovery__discovery_18__dwa__tau_y_300,discovery,discovery_18,dwa,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.772319817493077,0.9128286002302314,30.00000000000189,30.00000000000189,0.19643775794537108,0.620273319312272,0.0019053734966666673,0.023482204,true,true,true,true
566,holdout__holdout_08__dwa__tau_y_300,holdout,holdout_08,dwa,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.799915338987383,0.05526327701212631,30.00000000000189,30.00000000000189,0.1320295164372248,0.5085418537115383,0.0013278386316666673,0.003869483,true,true,true,true
567,holdout__holdout_12__teb__e0,holdout,holdout_12,teb,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,223,1114,0.07685010083328776,0.0936475172032119,11.139999999999807,11.139999999999807,5.100398395927692,0.1687193674286074,0.01056633239910314,0.031510479,true,true,true,true
568,holdout__holdout_05__dwa__tau_w_300,holdout,holdout_05,dwa,tau_w_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,530,2649,0.07729414459753153,0.09990665917940374,26.49000000000134,26.49000000000134,5.199003236333173,0.04429747111982713,0.0036236145735849073,0.017662439,true,true,true,true
569,discovery__discovery_09__teb__tau_y_300,discovery,discovery_09,teb,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,291,1454,0.07818890105562672,0.058707085987878015,14.539999999999734,14.539999999999734,5.690270087273735,0.12048062901594929,0.00948972191408935,0.030711088,true,true,true,true
570,discovery__discovery_01__dwa__tau_x_300,discovery,discovery_01,dwa,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.7987983755832255,0.06059223231982813,30.00000000000189,30.00000000000189,0.08880162185125437,0.5444237779524329,0.001310671726666666,0.008155586,true,true,true,true
571,discovery__discovery_20__teb__tau_w_100,discovery,discovery_20,teb,tau_w_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,112,560,3.0801108227348215,0.173815700212552,5.599999999999925,5.599999999999925,2.2233173285209458,0.10228596042684535,0.014341762256637166,0.029207364,true,true,true,true
572,holdout__holdout_10__dwa__tau_x_300,holdout,holdout_10,dwa,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.7987983755832255,0.06059223231982813,30.00000000000189,30.00000000000189,0.08880162185125437,0.7941198300741082,0.0011707123383333342,0.005328908,true,true,true,true
573,discovery__discovery_08__dwa__e0,discovery,discovery_08,dwa,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.800342967782957,0.05052643037205333,30.00000000000189,30.00000000000189,0.08043681154258775,0.738948443309302,0.001455255835,0.003905721,true,true,true,true
574,holdout__holdout_12__dwa__tau_w_100,holdout,holdout_12,dwa,tau_w_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.79937960160367,0.1284129193457563,30.00000000000189,30.00000000000189,0.10350131892526561,0.47193091437191725,0.0013442659300000003,0.004110191,true,true,true,true
575,holdout__holdout_10__teb__tau_y_300,holdout,holdout_10,teb,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,291,1451,0.07856510430777569,0.07375603389114767,14.509999999999735,14.509999999999735,5.458337299410219,0.0995773289429599,0.009667975051546382,0.027724784,true,true,true,true
576,holdout__holdout_09__teb__tau_w_300,holdout,holdout_09,teb,tau_w_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,255,1275,0.07714952656399834,0.0052052167965253695,12.749999999999773,12.749999999999773,4.978102116804249,0.12438364787871037,0.011034510113725495,0.034001686,true,true,true,true
577,discovery__discovery_12__dwa__tau_y_500,discovery,discovery_12,dwa,tau_y_500,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.797485535329291,0.16342103560456253,30.00000000000189,30.00000000000189,0.14694983650681062,0.7664129783802295,0.0015910517033333339,0.004436303,true,true,true,true
