partition,profile_id,metric,contrast,estimate,ci_low,ci_high,n_layouts
holdout,delay_100,capped_time_to_termination,TEB-minus-DWA degradation,6.190000000000477,3.479775000000196,9.58570000000077,20
holdout,delay_100,path_length,TEB-minus-DWA degradation,-0.564214015568898,-1.3848717178048968,0.1790548076266013,20
holdout,delay_100,min_clearance,TEB-minus-DWA degradation,0.1069895377454126,-0.011594049981647056,0.23216122197838657,20
holdout,delay_100,final_xy_error,TEB-minus-DWA degradation,0.7423480407359553,0.07016914187526709,1.5225777522453847,20
holdout,delay_200,success,TEB-minus-DWA degradation,-0.1,-0.25,0.0,20
holdout,delay_200,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,delay_200,timeout,TEB-minus-DWA degradation,0.4,0.2,0.6,20
holdout,delay_200,planner_failure,TEB-minus-DWA degradation,-0.3,-0.55,-0.05,20
holdout,delay_200,capped_time_to_termination,TEB-minus-DWA degradation,8.929000000000752,5.895487500000476,12.601062500000948,20
holdout,delay_200,path_length,TEB-minus-DWA degradation,-0.876247450463115,-1.6563950708871813,-0.14139727355742973,20
holdout,delay_200,min_clearance,TEB-minus-DWA degradation,0.11282309034555375,0.020793014232544517,0.21183135587631174,20
holdout,delay_200,final_xy_error,TEB-minus-DWA degradation,1.156627800434617,0.48663159228327985,1.9053114213456104,20
holdout,tau_w_100,success,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_w_100,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_w_100,timeout,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_w_100,planner_failure,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_w_100,capped_time_to_termination,TEB-minus-DWA degradation,0.9869999999999799,0.7309999999999844,1.247499999999974,20
holdout,tau_w_100,path_length,TEB-minus-DWA degradation,-0.009513115631754379,-0.056742450242302275,0.06661050599201811,20
holdout,tau_w_100,min_clearance,TEB-minus-DWA degradation,0.007635071336820396,-0.007781707149601557,0.02502163265321922,20
holdout,tau_w_100,final_xy_error,TEB-minus-DWA degradation,-0.028286726601788954,-0.0714038159470033,-0.002998316242328208,20
holdout,tau_w_300,success,TEB-minus-DWA degradation,-0.05,-0.15,0.0,20
holdout,tau_w_300,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_w_300,timeout,TEB-minus-DWA degradation,0.1,0.0,0.25,20
holdout,tau_w_300,planner_failure,TEB-minus-DWA degradation,-0.05,-0.15,0.0,20
holdout,tau_w_300,capped_time_to_termination,TEB-minus-DWA degradation,6.386000000000373,4.464725000000167,8.879250000000608,20
holdout,tau_w_300,path_length,TEB-minus-DWA degradation,-1.6248728459114843,-2.2862316762555723,-0.8961610010421809,20
holdout,tau_w_300,min_clearance,TEB-minus-DWA degradation,0.31358402361403853,0.15858513447997405,0.46723898176685397,20
holdout,tau_w_300,final_xy_error,TEB-minus-DWA degradation,1.2906712799136213,0.702249175071999,1.890489908538672,20
holdout,tau_x_100,success,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_x_100,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_x_100,timeout,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_x_100,planner_failure,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_x_100,capped_time_to_termination,TEB-minus-DWA degradation,0.33599999999999286,0.28049999999999403,0.3909999999999917,20
holdout,tau_x_100,path_length,TEB-minus-DWA degradation,0.3310858749976041,0.07562629662796794,0.6610420321970795,20
holdout,tau_x_100,min_clearance,TEB-minus-DWA degradation,-0.03896822910507135,-0.10035391490976968,0.008422939033730875,20
holdout,tau_x_100,final_xy_error,TEB-minus-DWA degradation,-0.17766388234495006,-0.42932518837312766,0.002239533699389044,20
holdout,tau_x_300,success,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_x_300,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_x_300,timeout,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_x_300,planner_failure,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_x_300,capped_time_to_termination,TEB-minus-DWA degradation,1.4220000000000101,1.0964874999999765,1.891000000000069,20
holdout,tau_x_300,path_length,TEB-minus-DWA degradation,0.4011280385928906,0.13299901053612212,0.7700460804418693,20
holdout,tau_x_300,min_clearance,TEB-minus-DWA degradation,-0.04991136858418766,-0.11061022344763977,-0.0028614519811101537,20
holdout,tau_x_300,final_xy_error,TEB-minus-DWA degradation,-0.20159212027763185,-0.4489699647820486,-0.021494286930868547,20
holdout,tau_y_150,success,TEB-minus-DWA degradation,-0.3,-0.5,-0.1,20
holdout,tau_y_150,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_y_150,timeout,TEB-minus-DWA degradation,0.3,0.1,0.5,20
holdout,tau_y_150,planner_failure,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_y_150,capped_time_to_termination,TEB-minus-DWA degradation,5.210000000000605,2.465400000000195,8.11985000000101,20
holdout,tau_y_150,path_length,TEB-minus-DWA degradation,-2.471338109618731,-3.303105333630654,-1.6794056167304467,20
holdout,tau_y_150,min_clearance,TEB-minus-DWA degradation,0.3583541932918056,0.24932106434570087,0.4714514334589027,20
holdout,tau_y_150,final_xy_error,TEB-minus-DWA degradation,2.1909526925373077,1.4337542609859866,2.9808340625140595,20
holdout,tau_y_300,success,TEB-minus-DWA degradation,-0.1,-0.25,0.0,20
holdout,tau_y_300,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_y_300,timeout,TEB-minus-DWA degradation,0.05,0.0,0.15,20
holdout,tau_y_300,planner_failure,TEB-minus-DWA degradation,0.05,-0.1,0.2,20
holdout,tau_y_300,capped_time_to_termination,TEB-minus-DWA degradation,3.2480000000001352,1.3344375000000326,5.595112500000308,20
holdout,tau_y_300,path_length,TEB-minus-DWA degradation,-0.8612994673158418,-1.4169380914571563,-0.3444544487540121,20
holdout,tau_y_300,min_clearance,TEB-minus-DWA degradation,0.1101747641300224,0.026891163882839512,0.20401183345434615,20
holdout,tau_y_300,final_xy_error,TEB-minus-DWA degradation,0.8930066983708022,0.43165798338573047,1.3910296555960584,20
holdout,tau_y_500,success,TEB-minus-DWA degradation,-0.15,-0.3,0.0,20
holdout,tau_y_500,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_y_500,timeout,TEB-minus-DWA degradation,0.0,0.0,0.0,20
holdout,tau_y_500,planner_failure,TEB-minus-DWA degradation,0.15,0.0,0.3,20
holdout,tau_y_500,capped_time_to_termination,TEB-minus-DWA degradation,3.652000000000151,2.1004500000000355,5.195087500000134,20
holdout,tau_y_500,path_length,TEB-minus-DWA degradation,-0.8655471455169744,-1.4329054891153516,-0.3348484687673979,20
holdout,tau_y_500,min_clearance,TEB-minus-DWA degradation,0.07824719432903326,-0.0034330043098118584,0.16622400759039896,20
holdout,tau_y_500,final_xy_error,TEB-minus-DWA degradation,0.8985562689826757,0.42200300317825634,1.4223384696484311,20
