timestamp,episode_id,attempt,status,detail
2026-08-20T13:00:58.177211+00:00,discovery__discovery_15__teb__tau_w_100,1,algorithm,external_tolerance
2026-08-20T13:01:04.313846+00:00,holdout__holdout_15__dwa__delay_050,1,algorithm,duration
2026-08-20T13:01:11.497953+00:00,holdout__holdout_12__teb__delay_200,1,algorithm,external_tolerance
2026-08-20T13:01:19.314495+00:00,discovery__discovery_05__teb__delay_050,1,algorithm,external_tolerance
2026-08-20T13:01:26.462661+00:00,holdout__holdout_11__teb__delay_100,1,algorithm,external_tolerance
2026-08-20T13:01:32.818303+00:00,holdout__holdout_05__teb__delay_050,1,algorithm,external_tolerance
2026-08-20T13:01:38.885579+00:00,holdout__holdout_16__dwa__e0,1,algorithm,duration
2026-08-20T13:01:42.759065+00:00,holdout__holdout_19__dwa__delay_100,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:01:48.745965+00:00,discovery__discovery_12__dwa__tau_x_100,1,algorithm,duration
2026-08-20T13:01:55.953625+00:00,discovery__discovery_14__dwa__delay_200,1,algorithm,duration
2026-08-20T13:02:02.505880+00:00,holdout__holdout_06__dwa__tau_w_300,1,algorithm,duration
2026-08-20T13:02:09.391967+00:00,discovery__discovery_11__dwa__tau_y_500,1,algorithm,duration
2026-08-20T13:02:16.802806+00:00,discovery__discovery_11__teb__tau_y_500,1,algorithm,footprint_collision
2026-08-20T13:02:23.009552+00:00,discovery__discovery_20__teb__delay_200,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:02:33.919722+00:00,discovery__discovery_06__teb__tau_w_300,1,algorithm,external_tolerance
2026-08-20T13:02:39.936429+00:00,holdout__holdout_05__dwa__delay_200,1,algorithm,duration
2026-08-20T13:02:45.875634+00:00,discovery__discovery_08__dwa__tau_y_300,1,algorithm,duration
2026-08-20T13:02:52.220842+00:00,holdout__holdout_09__dwa__tau_y_150,1,algorithm,external_tolerance
2026-08-20T13:02:58.423513+00:00,discovery__discovery_12__dwa__e0,1,algorithm,duration
2026-08-20T13:03:04.298701+00:00,discovery__discovery_11__dwa__delay_050,1,algorithm,plugin returned no valid velocity command
2026-08-20T13:03:10.881470+00:00,discovery__discovery_16__dwa__e0,1,algorithm,external_tolerance
