partition,planner,profile_id,metric,estimate,ci_low,ci_high,n_layouts
discovery,teb,tau_w_300,path_length,-0.028978307953861783,-0.04232632647472494,-0.016135509296770423,20
discovery,teb,tau_w_300,min_clearance,-0.016938450855284885,-0.02864398136403006,-0.0064858022719083185,20
discovery,teb,tau_w_300,final_xy_error,-0.004341401411086002,-0.013533113067312775,0.005074414917928857,20
discovery,teb,tau_x_100,success,0.05,0.0,0.15,20
discovery,teb,tau_x_100,collision,0.0,0.0,0.0,20
discovery,teb,tau_x_100,timeout,0.0,0.0,0.0,20
discovery,teb,tau_x_100,planner_failure,-0.05,-0.15,0.0,20
discovery,teb,tau_x_100,capped_time_to_termination,0.7564999999999839,0.3064874999999935,1.6005249999999658,20
discovery,teb,tau_x_100,path_length,0.20713225036928568,0.013666235687623587,0.5764528982703961,20
discovery,teb,tau_x_100,min_clearance,0.003972066905780308,-0.006879491098536571,0.017745275812729704,20
discovery,teb,tau_x_100,final_xy_error,-0.12511385001955344,-0.3951519426968412,0.014832494451242881,20
discovery,teb,tau_x_300,success,-0.05,-0.15,0.0,20
discovery,teb,tau_x_300,collision,0.0,0.0,0.0,20
discovery,teb,tau_x_300,timeout,0.0,0.0,0.0,20
discovery,teb,tau_x_300,planner_failure,0.05,0.0,0.15,20
discovery,teb,tau_x_300,capped_time_to_termination,1.606000000000074,0.14992500000001446,2.6731250000001356,20
discovery,teb,tau_x_300,path_length,-0.09332090823416717,-0.6829621614563048,0.24889076441561814,20
discovery,teb,tau_x_300,min_clearance,-0.0011765280308176022,-0.01019445393709655,0.00648451896541887,20
discovery,teb,tau_x_300,final_xy_error,0.24697788015337752,0.014595274164250337,0.6977589722210871,20
discovery,teb,tau_y_150,success,0.0,0.0,0.0,20
discovery,teb,tau_y_150,collision,0.0,0.0,0.0,20
discovery,teb,tau_y_150,timeout,0.0,0.0,0.0,20
discovery,teb,tau_y_150,planner_failure,0.0,0.0,0.0,20
discovery,teb,tau_y_150,capped_time_to_termination,0.8889999999999828,0.6224999999999903,1.172024999999975,20
discovery,teb,tau_y_150,path_length,0.06654761559727582,0.03913967277582806,0.09551275159256183,20
discovery,teb,tau_y_150,min_clearance,-0.010669886517086277,-0.02687935440303188,0.008031279737467405,20
discovery,teb,tau_y_150,final_xy_error,0.0049220969928058245,-4.1874385461158786e-05,0.01057643262769245,20
discovery,teb,tau_y_300,success,0.0,-0.15,0.15,20
discovery,teb,tau_y_300,collision,0.0,0.0,0.0,20
discovery,teb,tau_y_300,timeout,0.0,0.0,0.0,20
discovery,teb,tau_y_300,planner_failure,0.0,-0.15,0.15,20
discovery,teb,tau_y_300,capped_time_to_termination,2.829000000000051,1.6453625000000724,4.079075000000004,20
discovery,teb,tau_y_300,path_length,0.19861756757026325,-0.15973382642546233,0.666201531837899,20
discovery,teb,tau_y_300,min_clearance,-0.02795000213549135,-0.04634043800001489,-0.009583967523919736,20
discovery,teb,tau_y_300,final_xy_error,-0.044485349317677766,-0.39491029207776196,0.245612743215475,20
discovery,teb,tau_y_500,success,-0.1,-0.25,0.0,20
discovery,teb,tau_y_500,collision,0.1,0.0,0.25,20
discovery,teb,tau_y_500,timeout,0.0,0.0,0.0,20
discovery,teb,tau_y_500,planner_failure,0.0,0.0,0.0,20
discovery,teb,tau_y_500,capped_time_to_termination,4.260000000000289,2.8663625000002315,5.640687500000412,20
discovery,teb,tau_y_500,path_length,-0.02597496810597384,-0.3375742397243193,0.20497195660995035,20
discovery,teb,tau_y_500,min_clearance,-0.046482901991238286,-0.07297251693561252,-0.018243269979185035,20
discovery,teb,tau_y_500,final_xy_error,0.19084375458771657,0.011301487497172736,0.45554707940520794,20
holdout,dwa,delay_050,success,0.0,0.0,0.0,20
holdout,dwa,delay_050,collision,0.0,0.0,0.0,20
holdout,dwa,delay_050,timeout,-0.35,-0.55,-0.15,20
holdout,dwa,delay_050,planner_failure,0.35,0.15,0.55,20
holdout,dwa,delay_050,capped_time_to_termination,-9.94000000000066,-15.620000000001038,-4.260000000000284,20
holdout,dwa,delay_050,path_length,-0.056465483449490705,-0.11835706566745297,0.002959983151486449,20
holdout,dwa,delay_050,min_clearance,0.007861564576058095,-0.003158286564135584,0.02053348632884313,20
holdout,dwa,delay_050,final_xy_error,0.007098034603188319,-0.007099328355349029,0.019756322535837346,20
holdout,dwa,delay_100,success,0.1,0.0,0.25,20
holdout,dwa,delay_100,collision,0.0,0.0,0.0,20
holdout,dwa,delay_100,timeout,-0.35,-0.55,-0.15,20
holdout,dwa,delay_100,planner_failure,0.25,0.1,0.45,20
holdout,dwa,delay_100,capped_time_to_termination,-3.9725000000004975,-7.26787500000077,-1.3275000000002075,20
holdout,dwa,delay_100,path_length,0.656936024601087,-0.09402315094586051,1.4955719091765642,20
holdout,dwa,delay_100,min_clearance,-0.1187866316995444,-0.2407366009320326,-0.003195777299987661,20
holdout,dwa,delay_100,final_xy_error,-0.7365738390327552,-1.4892557050428048,-0.03644151757804859,20
holdout,dwa,delay_200,success,0.0,0.0,0.0,20
holdout,dwa,delay_200,collision,0.0,0.0,0.0,20
holdout,dwa,delay_200,timeout,-0.4,-0.6,-0.2,20
holdout,dwa,delay_200,planner_failure,0.4,0.2,0.6,20
holdout,dwa,delay_200,capped_time_to_termination,-3.857500000000486,-7.025125000000747,-1.5373750000002422,20
holdout,dwa,delay_200,path_length,0.8690382896034908,0.2681377492032033,1.6011213529419763,20
holdout,dwa,delay_200,min_clearance,-0.14459290793595098,-0.2462071281926786,-0.05582262977703478,20
holdout,dwa,delay_200,final_xy_error,-0.9159530345320149,-1.6253940038122123,-0.34131117937205074,20
holdout,dwa,tau_w_100,success,0.0,0.0,0.0,20
holdout,dwa,tau_w_100,collision,0.0,0.0,0.0,20
holdout,dwa,tau_w_100,timeout,0.0,0.0,0.0,20
holdout,dwa,tau_w_100,planner_failure,0.0,0.0,0.0,20
holdout,dwa,tau_w_100,capped_time_to_termination,0.0,0.0,0.0,20
holdout,dwa,tau_w_100,path_length,0.0157595978405353,-0.06078211264188826,0.0631438115743232,20
